UserId,Device,Hands,Time
P1,Phone,TwoThumbs,0.9116594430483816
P2,Phone,TwoThumbs,2.7463016829351776
P3,Phone,TwoThumbs,1.2259533125494388
P4,Phone,TwoThumbs,1.2479968514648154
P5,Phone,TwoThumbs,0.6014147418411946
P6,Phone,TwoThumbs,1.6366223734504621
P7,Phone,TwoThumbs,1.6107907731193296
P8,Phone,TwoThumbs,1.4230468580894775
P9,Phone,TwoThumbs,1.7361216690767434
P10,Phone,TwoThumbs,2.0568088813214125
P11,Phone,TwoThumbs,1.3333682507115328
P12,Phone,TwoThumbs,1.0236706214318296
P13,Phone,TwoThumbs,1.3322600951643426
P14,Phone,TwoThumbs,1.807171055139179
P15,Phone,TwoThumbs,1.7085502573066995
P16,Phone,TwoThumbs,1.3779214473128145
P17,Phone,OneIndex,2.4511033250205356
P18,Phone,OneIndex,1.77240981667935
P19,Phone,OneIndex,1.9055745378073328
P20,Phone,OneIndex,1.2653558807348713
P21,Phone,OneIndex,1.6789131323010187
P22,Phone,OneIndex,3.1057611655563493
P23,Phone,OneIndex,2.309583294453716
P24,Phone,OneIndex,1.2580326038653875
P25,Phone,OneIndex,0.6798041287890713
P26,Phone,OneIndex,1.2860921360045745
P27,Phone,OneIndex,1.3407154711081901
P28,Phone,OneIndex,1.6048980763394998
P29,Phone,OneIndex,1.6166399164349607
P30,Phone,OneIndex,1.7896517768937834
P31,Phone,OneIndex,2.03918493104038
P32,Phone,OneIndex,3.157628614520455
P33,Tablet,TwoThumbs,2.2294856754692622
P34,Tablet,TwoThumbs,1.9647539208439486
P35,Tablet,TwoThumbs,2.313771633860864
P36,Tablet,TwoThumbs,2.257429322605862
P37,Tablet,TwoThumbs,2.6373920892378546
P38,Tablet,TwoThumbs,2.26024371920885
P39,Tablet,TwoThumbs,2.8990526630626876
P40,Tablet,TwoThumbs,1.9977743988056416
P41,Tablet,TwoThumbs,2.552492116534919
P42,Tablet,TwoThumbs,1.9220035549039465
P43,Tablet,TwoThumbs,2.789067313478928
P44,Tablet,TwoThumbs,1.7021871719032378
P45,Tablet,TwoThumbs,2.3457481718970423
P46,Tablet,TwoThumbs,2.7247329610612994
P47,Tablet,TwoThumbs,2.011473358685314
P48,Tablet,TwoThumbs,2.5949989296836224
P49,Tablet,OneIndex,1.8925813429200709
P50,Tablet,OneIndex,1.4029603556982826
P51,Tablet,OneIndex,1.582926035130402
P52,Tablet,OneIndex,1.5549317694264422
P53,Tablet,OneIndex,1.7827308990905728
P54,Tablet,OneIndex,2.408133936706708
P55,Tablet,OneIndex,1.1796439750187764
P56,Tablet,OneIndex,1.8938608423580752
P57,Tablet,OneIndex,1.8156998975806191
P58,Tablet,OneIndex,1.0742908812198544
P59,Tablet,OneIndex,1.4999845111768504
P60,Tablet,OneIndex,1.7256818385747312
P61,Tablet,OneIndex,1.7626186774713088
P62,Tablet,OneIndex,1.9977682399162093
P63,Tablet,OneIndex,1.9423073727031064
P64,Tablet,OneIndex,1.6788515667410082
P65,Watch,TwoThumbs,3.4171625187725065
P66,Watch,TwoThumbs,3.423395076203869
P67,Watch,TwoThumbs,3.9770526273038547
P68,Watch,TwoThumbs,1.9253699992164808
P69,Watch,TwoThumbs,3.4855601348550107
P70,Watch,TwoThumbs,3.5725307866462663
P71,Watch,TwoThumbs,2.7372996869506343
P72,Watch,TwoThumbs,3.1251600513870854
P73,Watch,TwoThumbs,2.785296694315148
P74,Watch,TwoThumbs,2.9087401889265174
P75,Watch,TwoThumbs,2.9483447668076592
P76,Watch,TwoThumbs,2.68308089839408
P77,Watch,TwoThumbs,2.3644731063983615
P78,Watch,TwoThumbs,2.808024803048379
P79,Watch,TwoThumbs,3.258377901181592
P80,Watch,TwoThumbs,2.9110157280943967
P81,Watch,OneIndex,1.8029806270642936
P82,Watch,OneIndex,0.9081583144024938
P83,Watch,OneIndex,1.6585227631727542
P84,Watch,OneIndex,2.615126115818812
P85,Watch,OneIndex,1.7836344140332905
P86,Watch,OneIndex,2.428009724930552
P87,Watch,OneIndex,1.6762928815478872
P88,Watch,OneIndex,2.579596354290792
P89,Watch,OneIndex,1.4206777982450316
P90,Watch,OneIndex,1.1256211676831143
P91,Watch,OneIndex,2.0635138797073753
P92,Watch,OneIndex,1.1107283423005647
P93,Watch,OneIndex,2.428291581591453
P94,Watch,OneIndex,1.8904837734397577
P95,Watch,OneIndex,2.5235920863948715
P96,Watch,OneIndex,1.5603975084606165
