Method,WPM
Mechanical,38.15545924064509
Mechanical,62.61735577246903
Mechanical,42.34604416732585
Mechanical,42.63995801953087
Mechanical,34.01886322454926
Mechanical,47.82163164600616
Mechanical,47.477210308257725
Mechanical,44.9739581078597
Mechanical,49.148288921023244
Mechanical,53.424118417618836
Mechanical,43.77824334282044
Mechanical,39.64894161909106
Mechanical,43.76346793552457
Mechanical,50.09561406852239
Mechanical,48.78067009742266
Mechanical,44.372285964170864
Mechanical,59.51103325020536
Mechanical,52.7240981667935
Mechanical,54.055745378073325
Mechanical,47.653558807348716
SiliconeDome,46.98913132301019
SiliconeDome,61.257611655563494
SiliconeDome,53.29583294453717
SiliconeDome,42.78032603865388
SiliconeDome,36.998041287890715
SiliconeDome,43.06092136004575
SiliconeDome,43.607154711081904
SiliconeDome,46.248980763395004
SiliconeDome,46.36639916434961
SiliconeDome,48.09651776893784
SiliconeDome,50.5918493104038
SiliconeDome,61.77628614520455
SiliconeDome,40.8717708075082
SiliconeDome,36.63606273350318
SiliconeDome,42.220346141773824
SiliconeDome,41.3188691616938
SiliconeDome,47.39827342780568
SiliconeDome,41.3638995073416
SiliconeDome,51.584842609003005
SiliconeDome,37.16439038089027
